"";"Data";"Hora";"Nome";"Idade";"Sexo";"Crime";"Tipo";"Cidade";"Bairro"
"1";"01/01/2021 ";"06";"Parda";"28";"Masculino";"Homicídio";"BRANCA";"Palmeira dos Índios";"Zona Rural"
"2";"01/01/2021 ";"11";"Parda";"17";"Masculino";"Homicídio";"PAF";"Cajueiro";"Centro"
"3";"01/01/2021 ";"16";"Branca";"24";"Masculino";"Lesão Corporal Seguida de Morte";"PAF";"Limoeiro de Anadia";"Zona Rural"
"4";"01/01/2021 ";"17";"Parda";"18";"Masculino";"Homicídio";"PAF";"Maceió";"Santo Amaro"
"5";"01/01/2021 ";"18";"Preta";"27";"Masculino";"Homicídio";"PAF";"União dos Palmares";"Santa Fé"
"6";"01/01/2021 ";"18";"Parda";"27";"Masculino";"Homicídio";"PAF";"União dos Palmares";"Santa Fé"
"7";"01/01/2021 ";"18";"Parda";"47";"Masculino";"Homicídio";"PAF";"Zona Rural";"Anadia"
"8";"01/01/2021 ";"20";"Branca";"27";"Masculino";"Homicídio";"PAF";"Mata Grande";"Zona Rural"
"9";"01/01/2021 ";"22";"Parda";"29";"Masculino";"Homicídio";"ESPANCAMEN";"Maceió";"Jacintinho"
"10";"02/01/2021 ";"04";"Parda";"16";"Masculino";"Homicídio";"ESPANCAMEN";"Arapiraca";"Senador Arnon de Melo"
"11";"02/01/2021 ";"06";"Branca";"46";"Masculino";"Homicídio";"PAF";"Delmiro Gouveia";"Centro"
"12";"02/01/2021 ";"21";"Preta";"25";"Masculino";"Homicídio";"PAF";"Olho d Água das Flores";"Centro"
"13";"02/01/2021 ";"23";"Preta";"36";"Masculino";"Homicídio";"BRANCA";"Santa Luzia do Norte";"Centro"
"14";"03/01/2021 ";"14";"Parda";"80";"Masculino";"Homicídio";"BRANCA";"Ouro Branco";"Centro"
"15";"03/01/2021 ";"21";"Parda";"19";"Masculino";"Homicídio";"PAF";"Maceió";"Cidade Universitária"
"16";"03/01/2021 ";"22";"Parda";"17";"Masculino";"Homicídio";"PAF";"Maceió";"Tabuleiro do Martins"
"17";"03/01/2021 ";"23";"Parda";"18";"Masculino";"Homicídio";"ESPANCAMEN";"Rio Largo";"Mata do Rolo"
"18";"04/01/2021 ";"00";"Parda";"25";"Masculino";"Homicídio";"BRANCA";"Olho d Água das Flores";"Zona Rural"
"19";"04/01/2021 ";"10";"Parda";"";"Feminino";"Feminicídio";"ESPANCAMEN";"Maceió";"Mangabeiras"
"20";"04/01/2021 ";"22";"Preta";"21";"Masculino";"Homicídio";"PAF";"Coruripe";"Centro"
"21";"05/01/2021 ";"19";"Branca";"30";"Masculino";"Homicídio";"PAF";"Maceió";"Poço"
