Bairro;Total;H;M
Antares;17165;8203;8962
Barro Duro;14431;6758;7673
Bebedouro;10103;4624;5479
Benedito Bentes;88084;42312;45772
Bom Parto;12841;6081;6760
Canaã;5025;2393;2632
Centro;2812;1299;1513
Chã de Bebedouro;10541;5003;5538
Chã da Jaqueira;16617;7908;8709
Cidade Universitária;71441;34801;36640
Clima Bom;55952;26676;29276
Cruz das Almas;11708;5505;6203
Farol;16859;7525;9334
Feitosa;30336;14163;16173
Fernão Velho;5752;2736;3016
Garça Torta;1635;803;832
Gruta de Lourdes;14283;6395;7888
Guaxuma;2481;1220;1261
Ipioca;7580;3719;3861
Jacarecica;5742;2721;3021
Jacintinho;86514;40990;45524
Jaraguá;3211;1479;1732
Jardim Petrópolis;5081;2388;2693
Jatiúca;38027;16639;21388
Levada;10882;5073;5809
Mangabeiras;4166;1807;2359
Mutange;2632;1248;1384
Ouro Preto;6224;2960;3264
Pajuçara;3711;1675;2036
Pescaria;2784;1412;1372
Petrópolis;23675;11252;12423
Pinheiro;19062;8484;10578
Pitanguinha;4789;2211;2578
Poço;20776;9131;11645
Ponta da Terra;8403;3737;4666
Ponta Grossa;21796;9960;11836
Pontal da Barra;2478;1183;1295
Ponta Verde;24402;10550;13852
Prado;17763;7954;9809
Riacho Doce;5218;2512;2706
Rio Novo;7310;3552;3758
Santa Amélia;10649;5023;5626
Santa Lúcia;26061;12321;13740
Santo Amaro;1927;908;1019
Santos Dumont;20471;9728;10743
São Jorge;8445;4051;4394
Serraria;22675;10136;12539
Tabuleiro do Martins;64755;30314;34441
Trapiche da Barra;25303;11859;13444
Vergel do Lago;31538;14751;16787
